Pradiniai duomenys:
#    | Name            | Year  | Grade | Hash
---------------------------------------------------------------------------------------------------------
1    | Edee            | 2     | 7.13  | 
2    | Sam             | 3     | 7.09  | 
3    | Arlina          | 1     | 9.44  | 
4    | Dacia           | 3     | 9.54  | 
5    | Raina           | 2     | 9.99  | 
6    | Nita            | 2     | 8.12  | 
7    | Desirae         | 1     | 9.55  | 
8    | Norine          | 3     | 8.16  | 
9    | Peri            | 2     | 9.07  | 
10   | Asia            | 2     | 9.48  | 
11   | Fredericka      | 1     | 9.77  | 
12   | Lucy            | 4     | 7.58  | 
13   | Tilly           | 2     | 8.49  | 
14   | Sandie          | 2     | 7.51  | 
15   | Juliane         | 3     | 9.08  | 
16   | Malina          | 2     | 8.65  | 
17   | Kristina        | 2     | 9.26  | 
18   | Nataline        | 1     | 9.72  | 
19   | Delilah         | 1     | 7.26  | 
20   | Cam             | 3     | 8.58  | 
21   | Regina          | 2     | 8.61  | 
22   | Sonni           | 2     | 9.79  | 
23   | Lilith          | 3     | 7.29  | 
24   | Cordi           | 3     | 7.52  | 
25   | Heddie          | 4     | 9.07  | 
26   | Angelique       | 2     | 8.74  | 
27   | Rebeca          | 4     | 9.91  | 
28   | Ebonee          | 2     | 9.42  | 
29   | Linzy           | 1     | 9.2   | 
30   | Cyb             | 1     | 10    | 
31   | Briney          | 4     | 8.65  | 
32   | Heida           | 2     | 8.24  | 
33   | Joy             | 1     | 7.03  | 
34   | Lenna           | 4     | 9.92  | 
35   | Ashlee          | 3     | 9.57  | 
36   | Valeda          | 2     | 8.44  | 
37   | Shauna          | 4     | 9.08  | 
38   | Ardys           | 1     | 8.12  | 
39   | Basia           | 4     | 9.67  | 
40   | Annecorinne     | 3     | 7.82  | 
41   | Chloris         | 3     | 7.24  | 
42   | Sandie          | 2     | 9.59  | 
43   | Merry           | 1     | 7.37  | 
44   | Brynna          | 1     | 9.9   | 
45   | Sherrie         | 2     | 7.92  | 
46   | Brandise        | 4     | 8.3   | 
47   | Margalo         | 4     | 7.13  | 
48   | Mara            | 3     | 9.26  | 
49   | Babita          | 3     | 8.86  | 
50   | Shell           | 3     | 8.75  | 
51   | Starla          | 3     | 9.55  | 
52   | Brianna         | 3     | 8.35  | 
53   | Rivalee         | 4     | 7.27  | 
54   | Marguerite      | 1     | 7.96  | 
55   | Tierney         | 2     | 9.37  | 
56   | Dorothy         | 2     | 9.58  | 
57   | Loree           | 3     | 8.71  | 
58   | Consuela        | 3     | 7.9   | 
59   | Lelah           | 2     | 8.79  | 
60   | Dennie          | 4     | 9.51  | 
61   | Maud            | 3     | 9.43  | 
62   | Fernande        | 1     | 7.99  | 
63   | Ethel           | 3     | 8.82  | 
64   | Dacia           | 3     | 9.71  | 
65   | Lauryn          | 2     | 8.05  | 
66   | Frank           | 1     | 7.82  | 
67   | Cecile          | 2     | 7.47  | 
68   | Layla           | 4     | 8.01  | 
69   | Cyndie          | 1     | 8.29  | 
70   | Sybille         | 4     | 9.87  | 
71   | Donnie          | 2     | 8.74  | 
72   | Siana           | 4     | 9.27  | 
73   | Marjie          | 2     | 7.03  | 
74   | Minda           | 4     | 8.79  | 
75   | Nita            | 4     | 9.17  | 
76   | Stacey          | 4     | 9.85  | 
77   | Laurene         | 3     | 7.56  | 
78   | Nariko          | 1     | 8.96  | 
79   | Laurene         | 2     | 8.36  | 
80   | Beverley        | 2     | 8.72  | 
81   | Corina          | 2     | 9.42  | 
82   | Tarra           | 4     | 7.76  | 
83   | Noelle          | 1     | 7.5   | 
84   | Hildegaard      | 3     | 7.48  | 
85   | Genevra         | 4     | 7.75  | 
86   | Cathyleen       | 4     | 8.92  | 
87   | Barbi           | 1     | 7.9   | 
88   | Mariele         | 4     | 7.82  | 
89   | Jessy           | 4     | 9.89  | 
90   | Sabina          | 2     | 9.61  | 
91   | Gabriellia      | 4     | 8.93  | 
