Pradiniai duomenys:
#    | Name            | Year  | Grade | Hash
---------------------------------------------------------------------------------------------------------
1    | Kenyon          | 3     | 5.49  | 
2    | Ermin           | 1     | 5.32  | 
3    | Miner           | 4     | 5.56  | 
4    | Kinsley         | 1     | 5.79  | 
5    | Liz             | 2     | 5.18  | 
6    | Cointon         | 4     | 5.86  | 
7    | Ambrose         | 4     | 5.53  | 
8    | Meier           | 2     | 5.85  | 
9    | Danyette        | 2     | 5.73  | 
10   | Emery           | 1     | 5.29  | 
11   | Lacey           | 3     | 5.44  | 
12   | Reggi           | 3     | 5.95  | 
13   | Richart         | 1     | 5.91  | 
14   | Jackqueline     | 4     | 5.79  | 
15   | Wynne           | 4     | 4.93  | 
16   | Keriann         | 1     | 5.52  | 
17   | Mata            | 4     | 4.62  | 
18   | Elsi            | 1     | 4.96  | 
19   | Thoma           | 1     | 5.59  | 
20   | Dulciana        | 1     | 4.67  | 
21   | Annabelle       | 4     | 5.16  | 
22   | Sammie          | 4     | 4.6   | 
23   | Papagena        | 2     | 5.58  | 
24   | Marlee          | 4     | 5.82  | 
25   | Jobina          | 1     | 4.78  | 
26   | Teri            | 2     | 5.42  | 
27   | Miof mela       | 1     | 4.96  | 
28   | Elaine          | 2     | 5.26  | 
29   | Betteanne       | 4     | 5.48  | 
30   | Esther          | 1     | 5.25  | 
31   | Maurine         | 4     | 5.52  | 
32   | Hally           | 1     | 4.57  | 
33   | Candi           | 1     | 4.88  | 
34   | Junina          | 1     | 5.23  | 
35   | Evyn            | 1     | 5.51  | 
36   | Ade             | 2     | 5.08  | 
37   | Alis            | 2     | 4.96  | 
38   | Orion           | 3     | 5.97  | 
39   | Corny           | 3     | 4.76  | 
40   | Rani            | 1     | 5.32  | 
41   | Ebenezer        | 3     | 5.3   | 
42   | Nessa           | 2     | 5.89  | 
43   | Hillary         | 3     | 4.89  | 
44   | Stanford        | 3     | 4.55  | 
45   | Pryce           | 4     | 5.59  | 
46   | Murdoch         | 2     | 4.53  | 
47   | Ive             | 3     | 5.6   | 
48   | Eddy            | 1     | 5.4   | 
49   | Dion            | 4     | 4.66  | 
50   | Kali            | 2     | 5.97  | 
51   | Conny           | 4     | 5.84  | 
52   | Brody           | 1     | 4.83  | 
53   | Amabel          | 2     | 5.23  | 
54   | Kahlil          | 2     | 5     | 
55   | Gerladina       | 3     | 5.72  | 
56   | Herbert         | 1     | 5.97  | 
57   | Janessa         | 4     | 5.43  | 
58   | Ailee           | 3     | 5.21  | 
59   | Giff            | 1     | 5.4   | 
60   | Lyn             | 2     | 4.59  | 
61   | Christabel      | 4     | 5.94  | 
62   | Dannel          | 4     | 5.94  | 
63   | Noby            | 1     | 4.51  | 
64   | Monro           | 4     | 5.76  | 
65   | Ransell         | 4     | 5.54  | 
66   | Conny           | 3     | 5.8   | 
67   | Constantina     | 2     | 5.27  | 
68   | Emelda          | 4     | 5.17  | 
69   | Abel            | 3     | 5.1   | 
70   | Marijo          | 4     | 4.82  | 
71   | Jozef           | 3     | 5.78  | 
72   | Lindon          | 3     | 5.86  | 
73   | Riannon         | 2     | 5.15  | 
74   | Beaufort        | 3     | 4.78  | 
75   | Zelig           | 1     | 5.22  | 
76   | Romeo           | 1     | 5.46  | 
77   | Frank           | 2     | 5.6   | 
